Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
3/23/21,6015,12,Del Norte County,CA,8.3,2296,2296,9.6,2295,10.4,1291,25.2,96.7,4175,15,4175,17.4,4170,19,2246,43.8,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI
3/23/21,6049,12,Modoc County,CA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
3/23/21,6083,12,Santa Barbara County,CA,12.4,55551,55551,14.6,55495,15.9,31868,45.4,96.7,107283,24,107274,28.2,107059,30.8,51864,74,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
3/23/21,6001,12,Alameda County,CA,16.2,270352,270346,18.7,269839,20.3,125230,52.4,96.7,465410,27.8,465358,32.2,463428,34.8,177246,74.2,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
3/23/21,6095,12,Solano County,CA,12.5,56136,56134,14.7,56108,16.1,28240,38.6,96.7,111220,24.8,111192,29.1,110895,31.8,45418,62.1,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
3/23/21,6019,12,Fresno County,CA,10.9,109006,108991,13.5,108862,15.2,53543,42.7,96.7,235094,23.5,235034,29,234217,32.7,87827,70,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/23/21,6077,12,San Joaquin County,CA,10.3,78264,78208,12.4,78138,14,40231,40.3,96.7,162123,21.3,162011,25.8,161546,29,72073,72.2,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/23/21,6043,12,Mariposa County,CA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
3/23/21,6079,12,San Luis Obispo County,CA,13,36901,36901,14.7,36872,15.8,23695,40.1,96.7,62436,22.1,62432,24.9,62332,26.7,36777,62.3,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI
3/23/21,6003,12,Alpine County,CA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
3/23/21,UNK,12,Unknown County,CA,0,184691,184628,0,184447,0,75334,0,96.7,385019,0,384552,0,383575,0,129313,0,,,,,
3/23/21,6075,12,San Francisco County,CA,16.7,147192,147187,18.4,147094,19.3,71613,50.5,96.7,289566,32.8,289523,36.3,288744,37.8,101661,71.7,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
