date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests
10/16/20,San Benito,County,64022,3,1400,1,13,110,24026,1,1639,4,1388,0,14,137
12/8/20,Trinity,County,13354,3,229,0,2,30,5345,3,216,4,198,0,0,137
11/29/20,San Benito,County,64022,45,2024,1,15,237,33434,46,2233,25,1860,0,15,137
6/29/20,Tehama,County,65885,7,101,0,1,143,5762,6,92,0,63,0,1,137
5/23/21,San Benito,County,64022,0,6062,0,60,69,83877,1,6919,1,6072,0,63,137
5/13/20,Shasta,County,177925,1,45,0,4,200,3699,1,80,-1,32,0,4,137
5/16/21,Calaveras,County,44289,1,2137,0,55,38,42148,1,2390,3,2129,0,53,137
12/16/20,Siskiyou,County,43956,9,887,0,4,114,20148,16,956,6,818,0,2,137
6/17/21,Calaveras,County,44289,2,2190,0,56,107,45131,2,2461,1,2189,0,55,137
3/12/21,Tehama,County,65885,9,4657,0,58,180,50945,7,4541,6,4638,0,33,137
6/17/20,Nevada,County,98710,3,94,0,1,265,6730,5,58,4,57,0,1,137
1/12/21,Nevada,County,98710,27,3246,0,66,437,66313,35,2980,34,3014,0,17,137
11/3/20,Unknown,County,,0,2,0,0,0,5,0,1,2,5,0,0,1370
12/18/20,Merced,County,287420,263,17255,5,221,2279,175064,274,17586,308,15956,3,195,1370
2/8/21,Yolo,County,223612,45,12463,0,194,2873,213027,51,12378,34,12169,0,162,1370
9/9/20,Contra Costa,County,1160099,128,15757,1,215,3599,314231,155,16907,76,14816,0,171,1370
11/12/20,San Joaquin,County,782545,159,24154,1,543,3172,339499,182,28663,1,23002,0,509,1370
10/26/20,San Diego,County,3370418,463,57215,4,911,7603,1028163,199,46750,358,54957,0,870,13701
8/2/20,Sonoma,County,496668,46,3900,1,35,252,109155,13,4171,115,3005,4,33,1371
3/8/21,Contra Costa,County,1160099,97,64081,2,767,8288,1255859,103,70154,92,63240,0,719,1371
7/1/21,Santa Barbara,County,456373,14,34579,0,459,800,688983,19,39916,5,34526,0,456,1371
6/11/21,Placer,County,400434,14,23499,0,302,948,440466,20,24606,34,23330,1,294,1371
7/5/20,Sonoma,County,496668,26,1841,0,9,460,67903,15,1821,-1,1369,0,8,1371
3/24/21,California,State,40129160,2649,3576874,63,61197,222309,54157925,3773,4261234,2251,3553307,241,57091,137122
2/3/21,San Bernardino,County,2217398,671,279115,14,4427,13538,2237217,1079,324326,991,271477,64,2308,13718
1/31/21,Ventura,County,852747,312,72026,10,758,3266,964362,362,85249,704,70635,9,502,13719
2/10/21,Monterey,County,448732,106,41020,1,471,2097,464131,126,45968,87,40366,3,288,1372
5/28/20,Santa Clara,County,1967585,31,3118,2,147,3160,89596,35,4339,18,2698,0,140,1372
5/23/20,Contra Costa,County,1160099,12,1487,0,38,517,35317,10,1420,30,1302,0,36,1372
3/3/21,Santa Barbara,County,456373,48,32463,2,429,2411,503775,69,37138,63,32027,5,421,1372
3/18/21,San Luis Obispo,County,278862,23,20033,1,250,1365,444549,24,21665,36,19894,0,249,1373
10/14/20,San Joaquin,County,782545,62,21252,1,522,1891,277685,63,25636,23,20845,6,487,1373
10/18/20,Sonoma,County,496668,43,9187,0,122,330,222145,13,10009,56,8781,0,134,1373
12/17/20,Riverside,County,2468145,4117,154535,19,1911,22330,1451763,4882,170301,3574,139325,32,1696,13732
4/27/21,California,State,40129160,1855,3646681,31,62392,259795,60466759,2616,4354971,1593,3634778,65,60273,137384
2/28/21,San Luis Obispo,County,278862,21,19552,1,246,743,418976,16,21108,11,19422,0,237,1374
9/17/20,Monterey,County,448732,54,9471,0,65,1508,134640,72,10534,116,9113,0,62,1374
5/8/21,San Luis Obispo,County,278862,7,21011,0,255,246,514384,2,22842,13,20992,0,256,1374
3/23/21,Stanislaus,County,562303,84,52336,1,956,2375,550402,106,59138,65,52148,0,677,1374
4/17/21,Placer,County,400434,28,22294,0,293,448,377026,30,23214,56,21736,0,282,1375
6/4/21,Santa Cruz,County,273999,2,16167,0,207,1078,445476,4,16908,6,16150,0,207,1375
12/9/20,Marin,County,260800,83,8492,1,143,2982,249713,99,9179,83,8182,1,138,1375
8/10/20,Santa Barbara,County,456373,87,7768,0,79,1391,108128,108,8273,200,6869,0,66,1375
9/13/20,Tulare,County,484423,45,15516,1,262,256,135894,19,17761,80,15098,0,254,1375
1/20/21,Solano,County,444255,247,26713,4,184,4336,435017,256,27572,139,25659,0,106,1375
1/29/21,Riverside,County,2468145,763,270827,37,3740,10353,2153581,1143,313792,1162,263504,27,3008,13753
1/17/21,Ventura,County,852747,538,63766,19,621,5180,862510,663,74552,889,61257,7,376,13756
7/23/20,California,State,40129160,8501,532230,138,9638,137519,7590981,10660,601406,9212,434828,147,8096,137572
8/22/20,Sonoma,County,496668,70,5537,0,65,678,138109,48,6032,75,4891,0,57,1376
5/23/20,Kern,County,927251,48,2351,1,34,546,25950,45,1765,57,1806,3,31,1376
11/27/20,Orange,County,3228519,1352,83227,5,1674,9365,1460754,1297,96218,887,75151,5,1568,13760
1/20/21,San Diego,County,3370418,2419,234065,43,2623,23644,2703321,2373,234152,1720,218553,65,2174,13765
7/23/20,Sonoma,County,496668,77,3226,2,21,1774,97054,120,3387,34,2289,1,18,1377
8/7/20,Contra Costa,County,1160099,194,11736,4,153,3431,227146,193,12221,227,8810,2,126,1377
11/29/20,Sonoma,County,496668,103,13078,1,151,543,309778,32,13935,44,12052,1,163,1377
7/12/20,California,State,40129160,5887,423815,111,8160,44499,6050191,5167,468693,8358,329162,25,7014,137766
12/9/20,Santa Barbara,County,456373,184,13968,0,143,2731,285624,206,15159,114,12630,1,142,1378
2/18/21,Placer,County,400434,33,20271,0,274,1196,302746,34,20895,24,19429,2,232,1378
3/8/21,Sonoma,County,496668,51,28484,0,308,2884,577282,57,31179,38,28571,0,284,1378
5/23/20,Sacramento,County,1567975,16,1367,0,58,780,46064,10,1568,13,1275,0,50,1378
12/1/20,California,State,40129160,34361,1391162,160,21018,378701,25716513,38043,1581164,20762,1245951,119,19368,137813
4/8/21,Alameda,County,1685886,84,84693,1,1201,8726,2357273,103,98611,83,84213,8,1232,13783
1/25/21,Solano,County,444255,188,27460,3,197,3850,447671,202,28385,133,26648,0,109,1379
3/24/21,Merced,County,287420,32,29645,1,424,1331,320049,40,31607,40,29525,0,415,1379
11/4/20,San Joaquin,County,782545,134,22981,2,536,2639,321041,137,27386,88,22197,0,500,1379
5/12/21,Tulare,County,484423,25,49380,0,845,1413,558140,31,56074,27,49001,1,838,1379
8/26/20,San Mateo,County,778001,60,8456,0,137,3082,227875,122,12243,19,7655,1,121,1379
1/15/21,Santa Clara,County,1967585,891,94187,29,1260,18496,2349140,1172,105247,1598,90103,32,942,13793
5/5/20,Placer,County,400434,1,178,0,8,325,6365,6,211,0,162,0,8,138
9/2/20,Tehama,County,65885,4,454,0,2,186,14391,7,483,7,429,0,1,138
5/22/20,Kings,County,156444,21,732,0,2,552,6639,23,826,11,428,0,2,138
2/4/21,Tehama,County,65885,22,4412,1,50,287,45240,23,4260,18,4327,0,21,138
12/13/20,Del Norte,County,27558,8,590,1,2,319,32134,11,632,13,542,0,1,138
7/7/20,Tehama,County,65885,3,126,0,1,107,6570,1,121,0,95,0,1,138
5/18/21,Lake,County,64871,5,3505,0,62,176,69808,6,4082,6,3495,0,43,138
8/19/20,Tehama,County,65885,10,391,0,2,179,12257,12,413,9,342,0,1,138
6/13/21,Lake,County,64871,1,3560,0,63,36,73083,1,4159,4,3556,0,45,138
7/11/20,Yuba,County,79290,14,224,0,3,98,6662,15,273,11,175,0,1,138
8/10/20,Lassen,County,30065,6,699,0,0,159,18905,10,885,-1,588,0,0,138
9/15/20,Shasta,County,177925,22,760,0,16,562,42284,26,799,43,627,1,11,138
7/6/21,Madera,County,160089,8,16762,0,243,827,283141,15,18876,8,16730,0,241,138
10/1/20,Tehama,County,65885,6,654,1,7,140,18620,9,704,12,606,0,3,138
9/30/20,Humboldt,County,134098,2,517,0,7,354,36470,1,512,0,497,0,6,138
7/4/20,Tehama,County,65885,2,118,0,1,17,6297,3,109,3,92,0,1,138
7/20/20,Yuba,County,79290,20,348,0,3,175,8011,23,428,18,258,0,1,138
6/18/20,Sutter,County,105747,6,122,0,3,142,5298,6,125,6,85,0,2,138
